Name;Abk.;Region
1. CfR Pforzheim;CFRP;B-W
EC Eppelheim;ECEPP;B-W
Eis-Sport-Club Ravensburg e.V.;ESCRA;B-W
Eiskunstlauf Senden e.V.;EKLS;B-W
Eislaufverein Ulm / Neu-Ulm e.V.;ELVU;B-W
Eissportclub Herrischried e.V.;ESCHER;B-W
Eissportgemeinschaft Freiburg e.V.;ESGF;B-W
Eissportverein Senden e.V.;EVSE;B-W
EKV Balingen e.V.;EKVB;B-W
ERC Göppingen e.V.;ERCGP;B-W
ERC Waldbronn e.V.;ERCWA;B-W
ESC Hügelsheim 09 e.V.;ESHÜ;B-W
ESG Esslingen e.V.;ESGE;B-W
EV Hotzenwald-Herrischried e.V.;EVH;B-W
Freiburger RSC e. V.;FRSC;B-W
Konstanzer REC e.V.;KREC;B-W
Mannheimer ERC e.V.;MERC;B-W
REV Heilbronn von 1934 e.V.;REVH;B-W
SERC 04 Schwenningen e.V.;SERCS;B-W
Stuttgarter ERC 1911 e.V.;SERC;B-W
TEC Waldau Stuttgart e.V.;TECW;B-W
TSG Reutlingen 1843 e.V.;TSGR;B-W
tus Stuttgart Eissport e.V.;TUSST;B-W
TV Unterboihingen e.V.;TVU;B-W
1. EV Weiden e.V.;EVWEI;BAY
Bad Wörishofer EKV e.V.;BADW;BAY
Bayreuther Turnerschaft 1861 e.V.;BAYTS;BAY
DEC Inzell e.V.;DECI;BAY
Deggendorfer Schlittschuh-Club e.V.;DEGSC;BAY
DJK-SV Ost Memmingen e.V.;DJKM;BAY
EC Oberstdorf e.V.;ECO;BAY
EC Pfaffenhofen e.V.;ECPFA;BAY
EC Pirouette München;ECPM;BAY
EHC Klostersee Grafing e.V.;EHCK;BAY
Eisclub Bad Tölz e.V.;ECBT;BAY
Eiskunstlauf-Verein Holzkirchen e.V.;EKVH;BAY
Eiskunstlaufverein Berchtesgaden e.V.;EKLVBG;BAY
Eislauf Club Nürnberg e.V.;ECNÜ;BAY
Eislaufverein Landshut e.V.;EVLH;BAY
Eissport-Club Dorfen e.V.;ESCDO;BAY
Eissport-Club Haßfurt e.V.;ESCHAS;BAY
Eissport-Verein Augsburg e.V.;EVAU;BAY
Eissportclub Kempten e.V.;ESCKE;BAY
Eissportclub Regensburg e.V.;ECRE;BAY
EKV Füssen e.V.;EKVF;BAY
EKV Mittenwald e.V.;EKVM;BAY
ERC Bad Aibling e.V.;ERCBA;BAY
ERC Fürstenfeldbruck e.V.;ERCFÜ;BAY
ERC Ingolstadt "Panther" e.V.;ERCI;BAY
ERC München e.V.;ERCM;BAY
ERC Sonthofen 1999 e.V.;ERCSO;BAY
ERSC Ottobrunn e.V.;ERSCO;BAY
ERV Schweinfurt e.V.;ERVS;BAY
ESC Amberg e.V.;ESCAM;BAY
ESC Höchstadt/Aisch;ESCHÖ;BAY
ESC River Rats Geretsried e.V.;ESCRRG;BAY
ESC Vilshofen e.V.;ESCV;BAY
ESV Buchloe;ESVBU;BAY
ESV Burgau 2000 e.V.;ESVB;BAY
ESV Kaufbeuren e.V.;ESVK;BAY
EV Berchtesgaden e.V.;EVBE;BAY
EV Rosenheim 1978 e.V.;EVRO;BAY
Fun on Ice Regen e.V.;FUNREG;BAY
Hockey Club Landsberg e.V.;HCL;BAY
Munich Synchro Family e.V.;MSF;BAY
Münchener EV v. 1883 e.V.;MEV;BAY
SC Bad Kissingen e.V.;SCBA;BAY
SC Riessersee e.V.;SCRI;BAY
Ski-Club Ruhpolding e.V.;SCRU;BAY
SV Hof 1911 e.V.;SVHO;BAY
SV Pang 1950 e.V.;SVPA;BAY
TEV Miesbach e.V.;TEVM;BAY
TSV 1846 Nürnberg e.V.;TSVN;BAY
TSV 1847 Schwaben Augsburg e.V.;TSVSA;BAY
TSV Erding 1862 e.V.;TSVERD;BAY
TSV Haunstetten 1892 e.V.;TSVH;BAY
TSV Königsbrunn e.V.;TSVK;BAY
TSV Waldkirchen e.V.;TSVW;BAY
TuS Bad Aibling 1861 e.V.;TUSBA;BAY
TuSpo Nürnberg;TUSPO;BAY
TV Freyung e.V.;TVF;BAY
TV Passau 1862 e.V.;TVPAS;BAY
VER Selb e.V.;VERS;BAY
VfL Waldkraiburg e.V.;VFLWA;BAY
Wanderers e.V. Germering;WAND;BAY
Weiß-Blau Casino 84 Memmingen e.V.;WBCM;BAY
WSV 1909 Aschaffenburg e.V.;WSVA;BAY
Würzburger ERV e.V.;WERV;BAY
Berliner Schlittschuh-Club e.V.;BSC;BER
Berliner Sportverein 1892 e.V.;BSV92;BER
Berliner Turn- u. Sportclub e.V.;BTSC;BER
Neuköllner Sportfreunde 1907 e.V.;NSF;BER
Sport Club Charlottenburg e.V.;SCC;BER
Sportclub Berlin e.V.;SCBE;BER
Weddinger ERC e.V. Berlin;WERC;BER
ATSV 1860 Bremen;ATSV;BRE
ERB Bremen e.V.;ERBB;BRE
REV Bremerhaven e.V.;REVB;BRE
SC Bremerhaven von 1997 e.V.;SCBR;BRE
Ukrainian Figure Skating Federation;UKR;GER
Eis- u. Rollsportverein Bergedorf e.V.;ERVBE;HAM
ERV Bergedorf;ERVBERG;HAM
Hamburger Schlittschuh-Club 1881 e.V.;HSC;HAM
Hamburger Sportverein e.V.;HSV;HAM
EC Lauterbach 2012 e.V.;ECL;HES
Eis, Inline u. SC Wiesbaden 98 e.V.;EIS;HES
Eislaufclub Frankfurt e.V.;ECF;HES
Frankfurter REC e.V.;FREC;HES
FTG Frankfurt;FTG;HES
LSC Bad Nauheim e.V.;LSCBN;HES
Makkabi Frankfurt;MAKF;HES
RSC Wiesbaden 1955 e.V.;RSCW;HES
Ski Club Usseln e.V.;SCUS;HES
TGS Vorwärts 1874 Frankfurt e.V.;TGSV;HES
TSG Darmstadt 1846 e.V.;TSGD;HES
TuS Makkabi Frankfurt e.V.;MAKF;HES
EC Hannover Indians e.V.;ECHAI;NIE
EC Pferdeturm Hunters e.V.;ECPFE;NIE
ESC Wedemark Scorpions e.V.;ESCWS;NIE
Sportverein am Salzgittersee e.V.;SVAS;NIE
SV Glück Auf 1901 Gebhardshagen e.V.;SVGA;NIE
Turn-Club Bissendorf e.V.;TCBI;NIE
TV Jahn Wolfsburg e.V.;TVJW;NIE
DSC Arminia Bielefeld e.V.;DSCAB;NRW
Duisburger SC Kaiserberg 1947 e.V.;DSCK;NRW
